2.39;162.67;160;160.20;170.76;11448
160.56;462.67;161.33;160;159.63;168.90;11340
160.33;462.40;162.67;160;160.18;170.69;11340
160.65;463.78;160.00;160;160.21;170.77;11368
160.52;462.56;161.00;160;159.69;169.09;11340
160.26;462.13;162.00;160;160.20;170.76;11352
160.47;463.12;160.00;160;160.28;171.00;11352
160.38;462.23;161.00;160;159.89;169.75;11328
160.24;462.12;162.00;160;160.27;170.99;11440
160.49;463.19;160.00;160;160.27;170.96;11432
160.39;462.26;160.00;160;159.87;169.69;11336
160.07;461.35;161.00;160;160.24;170.90;11448
160.12;461.92;162.00;160;160.50;171.74;11444
160.50;463.28;160.00;160;160.29;171.05;11320
160.42;462.34;161.33;160;159.84;169.57;11336
160.31;462.39;162.67;160;160.26;170.93;11364
160.66;463.85;160.00;160;160.20;170.73;11352
160.53;462.59;161.33;160;159.67;169.03;11360
160.32;462.38;162.67;160;160.20;170.77;11364
160.65;463.80;160.00;160;160.21;170.77;11348
160.52;462.57;161.00;160;159.69;169.08;11336
160.26;462.13;162.00;160;160.20;170.75;11416
160.47;463.12;162.00;160;160.28;171.00;11336
160.73;463.78;160.00;160;159.94;169.90;11424
160.44;462.31;161.00;160;159.74;169.24;11440
160.21;462.02;162.00;160;160.28;171.00;11336
160.47;463.13;160.00;160;160.30;171.07;11336
160.39;462.26;161.00;160;159.89;169.73;11344
160.24;462.13;162.00;160;160.27;170.97;11344
160.49;463.19;160.00;160;160.26;170.96;11352
160.39;462.26;161.33;160;159.87;169.69;11352
160.30;462.38;162.67;160;160.28;171.00;11344
160.67;463.86;160.00;160;160.20;170.74;11344
160.53;462.59;161.33;160;159.67;169.02;11412
160.32;462.39;161.33;160;160.20;170.76;11352
160.42;462.76;162.67;160;160.18;170.67;11448
160.73;463.99;160.00;160;160.09;170.39;11460
160.53;462.57;161.00;160;159.64;168.94;11428
160.25;462.09;162.00;160;160.21;170.77;11328
160.46;463.11;160.00;160;160.29;171.04;11356
160.38;462.23;161.00;160;159.90;169.76;11348
160.24;462.13;162.00;160;160.27;170.99;11336
160.49;463.19;160.00;160;160.26;170.96;11348
160.39;462.26;161.33;160;159.87;169.68;11352
160.30;462.38;162.67;160;160.28;171.00;11344
160.67;463.86;160.00;160;160.20;170.74;11436
160.53;462.59;161.33;160;159.67;169.02;11436
160.32;462.39;161.33;160;160.20;170.76;11356
160.42;462.76;162.67;160;160.18;170.67;11452
160.73;463.99;160.00;160;160.09;170.39;11444
160.53;462.57;161.33;160;159.64;168.94;11328
160.31;462.35;162.67;160;160.21;170.80;11348
160.64;463.78;160.00;160;160.22;170.81;11352
160.52;462.57;161.00;160;159.69;169.08;11348
160.26;462.13;162.00;160;160.20;170.75;11356
160.47;463.12;160.00;160;160.28;171.00;11352
160.38;462.23;161.00;160;159.89;169.75;11332
160.24;462.12;162.00;120;76.55;42.87;11332
142.95;406.73;158.67;120;91.10;72.49;11316
133.78;387.41;158.67;120;106.62;90.45;11228
132.82;387.80;154.00;120;110.12;93.47;11384
133.04;387.66;147.00;120;109.28;92.76;11268
131.56;381.36;139.33;120;109.31;92.78;11296
128.75;371.70;139.33;120;111.18;94.35;11284
126.97;367.73;135.67;120;114.00;96.63;11388
126.15;365.14;133.00;120;114.72;97.21;11276
125.27;362.21;128.00;120;115.38;97.74;11300
123.89;357.20;128.00;120;116.10;98.32;11268
122.90;354.91;126.67;120;117.61;99.53;11368
122.53;353.91;126.33;120;118.06;99.90;11284
122.36;353.49;126.33;120;118.30;100.09;11268
122.32;353.46;122.33;120;118.40;100.17;11456
121.65;350.42;121.67;120;118.30;100.09;11344
120.79;348.02;121.67;120;119.29;100.90;11416
120.49;347.51;121.67;120;119.90;101.41;11336
120.53;347.78;119.00;120;119.96;101.45;11336
120.15;345.92;120.33;120;119.80;101.32;11352
119.90;345.71;120.33;120;120.46;101.87;11332
120.02;346.20;122.33;120;120.41;101.83;11348
